E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
152,90,154,69,83,126,-221,15,10,133,79,-93
156,91,167,80,76,130,-236,26,3,128,66,-91
165,81,187,89,76,142,-245,38,-8,124,58,-89
172,76,210,95,76,153,-257,43,-21,123,62,-88
178,80,229,99,77,157,-261,43,-30,123,68,-90
177,85,245,95,78,155,-255,36,-32,123,72,-102
168,89,257,106,79,153,-246,22,-29,121,77,-119
157,99,272,98,85,154,-236,16,-17,121,84,-120
150,106,277,82,85,147,-237,21,-5,117,95,-101
151,104,268,67,86,138,-246,34,2,111,106,-63
162,97,277,60,95,136,-234,43,8,119,113,-30
168,93,270,60,86,127,-223,44,16,115,106,-10
166,92,262,68,87,140,-199,33,19,120,78,1
177,99,253,72,70,149,-174,13,22,128,73,2
176,104,244,67,46,156,-155,21,12,142,74,-2
183,115,232,59,22,154,-150,29,-7,157,83,-27
185,126,217,51,0,153,-149,29,-5,166,90,-61
192,135,203,51,-24,149,-149,21,-7,167,94,-70
196,167,186,53,-47,142,-143,15,11,158,90,-85
193,181,172,52,-59,128,-135,11,23,150,83,-91
179,191,157,52,-63,105,-131,8,28,153,81,-98
162,191,141,50,-60,83,-133,8,30,164,80,-104
145,184,126,49,-59,65,-142,12,34,171,77,-110
132,169,116,55,-66,56,-150,14,41,175,71,-119
121,154,106,50,-81,45,-157,19,48,171,68,-127
107,147,92,52,-95,38,-162,23,48,158,70,-137
90,150,80,34,-93,44,-161,25,39,140,73,-143
78,162,61,6,-82,47,-167,25,28,123,77,-147
68,170,26,-25,-71,42,-198,24,13,108,81,-153
64,168,12,-53,-59,46,-214,19,-7,106,92,-162
52,160,-5,-72,-67,34,-240,14,-25,86,109,-171
33,156,-11,-83,-66,29,-253,17,-44,79,121,-177
31,161,-17,-91,-73,19,-260,17,-59,70,155,-186
17,165,-21,-94,-81,20,-261,32,-79,65,168,-184
9,173,-19,-93,-87,29,-259,32,-96,62,156,-176
-7,174,-13,-90,-89,36,-254,29,-91,58,129,-170
-26,160,-2,-85,-85,35,-244,25,-93,51,108,-139
-40,160,13,-88,-83,29,-235,30,-89,38,96,-117
-47,141,25,-95,-83,23,-231,43,-93,26,92,-92
-57,126,31,-102,-85,18,-236,59,-96,10,89,-72
-67,109,33,-113,-87,15,-244,67,-88,-17,88,-61
-77,89,31,-129,-86,12,-257,62,-72,-55,88,-60
-90,60,22,-143,-80,9,-266,46,-66,-84,85,-66
-115,27,13,-160,-72,7,-270,25,-66,-98,73,-72
-151,-2,6,-148,-61,4,-280,9,-62,-107,53,-75
-191,-25,7,-142,-46,5,-287,-8,-55,-112,40,-77
-212,-40,14,-135,-37,-2,-290,-24,-47,-119,35,-82
-218,-48,20,-125,-38,-11,-300,-37,-40,-123,32,-84
-209,-56,39,-113,-35,-9,-293,-46,-32,-104,32,-83
-202,-60,33,-108,-49,-14,-299,-61,-22,-103,29,-83
-198,-61,24,-115,-45,2,-303,-72,-14,-100,14,-83
-174,-58,17,-124,-46,11,-305,-89,2,-106,11,-85
-166,-60,21,-132,-50,22,-304,-81,10,-111,-1,-93
-161,-69,35,-134,-53,28,-303,-74,10,-108,-11,-108
-165,-91,45,-136,-40,24,-304,-69,22,-103,-13,-117
-166,-115,56,-134,-13,20,-304,-73,14,-98,-10,-93
-165,-108,63,-126,20,15,-302,-81,13,-98,-5,-72
-167,-104,70,-114,46,8,-301,-91,5,-107,3,-48
-174,-95,77,-95,57,-5,-294,-95,-5,-124,10,-31
-184,-86,81,-72,63,-20,-281,-96,-17,-149,19,-24
-187,-80,85,-47,61,-32,-263,-98,-23,-177,30,-20
-189,-76,84,-22,59,-31,-245,-106,-25,-199,43,-12
-192,-77,81,-10,56,-23,-230,-120,-22,-202,57,0
-195,-77,76,14,53,-16,-221,-133,-12,-190,66,13
-198,-77,72,25,55,-15,-211,-140,4,-166,71,28
-199,-72,60,37,59,-27,-205,-139,18,-145,78,46
-203,-65,40,44,57,-34,-218,-132,24,-130,89,62
-196,-55,43,48,67,-23,-219,-127,27,-103,104,71
-191,-49,44,52,69,-17,-230,-120,29,-95,115,77
-192,-46,52,55,82,7,-230,-109,30,-84,120,91
-171,-44,54,54,85,21,-221,-111,48,-77,150,103
-159,-36,45,49,88,28,-208,-99,69,-71,172,115
-142,-21,31,44,91,32,-198,-100,90,-63,179,121
-127,-9,20,41,93,40,-191,-98,121,-59,176,115
-115,-9,8,43,92,42,-185,-90,136,-51,180,130
-111,4,-4,47,89,34,-176,-81,156,-35,192,134
-119,6,-14,49,88,19,-161,-73,175,-10,204,136
-129,11,-19,52,88,4,-147,-64,197,19,213,133
-140,16,-22,44,85,-2,-135,-50,206,36,211,123
-146,19,-22,31,83,-11,-128,-40,189,46,205,106
-143,15,-18,34,81,-24,-128,-31,165,65,199,83
-129,0,-13,38,85,-37,-132,-19,150,96,196,67
-118,-14,-9,62,100,-48,-140,1,146,127,193,61
-107,-21,-2,79,120,-51,-146,20,147,162,183,71
-97,-13,6,91,122,-52,-151,36,150,182,170,88
-82,1,15,100,107,-42,-154,52,153,192,156,114
-55,13,43,109,88,-18,-128,67,147,208,148,142
-33,20,60,115,52,-11,-119,85,138,202,150,171
-22,26,71,114,37,9,-111,114,119,194,134,195
12,32,81,114,24,27,-104,120,103,181,134,206
42,37,93,113,11,47,-98,139,86,175,121,205
71,39,107,117,-12,62,-86,149,71,182,111,193
82,34,122,124,-27,65,-63,158,75,199,102,174
75,31,133,130,-29,59,-33,163,66,216,101,177
63,67,142,135,-19,52,-9,161,69,224,107,168
59,101,154,143,-6,46,3,150,69,223,106,167
71,132,171,153,3,46,6,133,65,218,105,171
90,159,193,152,8,41,6,121,54,212,116,174
108,193,211,139,10,34,4,119,41,215,133,171
121,230,228,124,16,33,3,126,28,226,150,165
134,265,245,99,23,44,1,133,21,244,162,158
147,299,256,100,33,54,-5,140,26,256,170,159
161,316,261,96,49,66,-3,150,43,266,183,162
168,318,259,94,59,65,0,163,60,262,200,163
175,313,247,90,66,51,-5,179,77,259,221,164
188,307,252,88,87,44,11,189,96,288,235,164
201,301,254,90,96,32,25,195,118,311,252,161
210,294,261,97,109,43,49,205,132,342,252,158
228,289,268,107,108,56,75,205,146,370,262,150
226,280,271,119,102,76,97,226,150,399,253,145
226,277,268,129,96,92,110,242,149,432,231,145
227,276,261,141,95,104,116,257,169,467,206,141
229,268,261,160,97,112,111,271,184,498,195,150
234,279,269,182,100,118,107,282,209,528,199,132
240,277,274,196,99,120,113,291,220,553,212,107
250,281,273,203,94,121,128,303,226,571,226,77
264,286,269,197,95,122,150,309,242,583,236,58
282,296,269,182,99,125,172,304,270,589,241,51
291,302,280,173,98,128,192,290,303,594,245,52
285,304,298,159,89,130,214,283,335,601,250,54
278,308,313,173,75,133,230,292,362,607,261,46
278,315,319,185,69,146,237,308,378,612,274,33
283,326,314,195,66,164,235,320,382,607,282,26
282,337,299,201,62,178,231,329,377,589,288,21
282,343,300,200,66,204,259,334,370,581,291,21
279,346,289,192,50,208,282,327,361,560,296,26
270,350,284,176,45,222,308,322,350,548,286,36
283,363,277,157,33,228,333,295,347,535,289,44
287,377,270,135,22,238,352,278,340,519,277,53
287,391,263,118,14,255,357,255,324,495,269,53
276,402,261,101,4,279,356,240,314,469,267,36
258,399,265,83,-8,304,352,234,281,439,267,27
240,406,274,62,-18,319,348,234,255,411,264,4
224,391,282,41,-13,322,340,227,235,387,250,-11
210,374,283,24,-1,312,319,215,224,359,226,-18
193,354,280,6,9,296,299,198,221,327,194,-21
171,331,269,-10,19,273,287,169,212,293,158,-23
148,304,256,-21,29,254,278,131,193,269,120,-20
124,279,244,-48,42,234,262,91,169,251,87,-9
100,258,228,-62,56,219,236,51,150,226,63,4
78,237,208,-80,67,204,206,5,138,200,47,21
53,211,182,-96,65,177,176,-29,120,163,41,43
26,182,141,-109,54,153,141,-38,100,120,43,70
5,160,116,-122,58,145,126,-40,83,103,53,93
-16,138,80,-137,48,124,99,-48,73,84,67,104
-38,122,49,-151,46,112,74,-57,58,74,60,101
-44,112,23,-163,37,90,46,-92,39,60,60,84
-66,99,3,-177,36,71,15,-119,17,47,39,68
-90,85,-17,-196,41,56,-10,-152,-3,32,3,46
-106,64,-35,-224,52,49,-38,-175,3,13,-35,19
-107,26,-48,-254,62,48,-71,-190,8,-9,-69,21
-97,4,-57,-280,70,48,-102,-200,21,-29,-93,20
-86,-36,-61,-298,75,42,-127,-208,23,-43,-109,25
-82,-78,-68,-308,75,21,-154,-219,10,-48,-116,30
-79,-112,-84,-314,78,-17,-182,-234,-9,-50,-119,28
-75,-137,-108,-321,85,-58,-210,-255,-21,-63,-113,18
-68,-150,-123,-321,98,-87,-242,-277,-29,-80,-101,9
-63,-163,-126,-337,111,-106,-279,-299,-32,-102,-86,13
-77,-181,-128,-334,112,-125,-311,-314,-36,-121,-66,17
-104,-204,-130,-340,104,-140,-322,-322,-45,-133,-43,16
-124,-217,-143,-349,88,-157,-319,-326,-57,-147,-21,16
-133,-217,-174,-346,63,-170,-324,-327,-69,-173,-9,20
-127,-204,-189,-334,57,-163,-317,-331,-76,-190,1,17
-113,-191,-202,-314,35,-171,-315,-340,-83,-209,19,11
-107,-188,-204,-295,27,-172,-311,-332,-96,-206,22,8
-91,-191,-196,-284,19,-178,-314,-332,-104,-198,37,7
-91,-194,-179,-293,14,-173,-317,-319,-111,-191,39,14
-87,-199,-161,-305,13,-163,-316,-320,-126,-197,38,23
-85,-218,-149,-305,13,-156,-312,-327,-123,-207,35,30
-85,-255,-138,-289,9,-149,-299,-338,-134,-219,39,53
-86,-263,-133,-270,5,-142,-276,-352,-135,-232,53,60
-83,-267,-129,-259,10,-132,-251,-366,-136,-239,69,73
-74,-261,-133,-244,23,-121,-250,-376,-136,-244,78,87
-61,-255,-135,-235,40,-108,-262,-376,-130,-253,86,90
